...1,spotify_id,youtube_id,project_name,artist,project_type,tracks,year,rating,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,explicit
1131,4PWBTB6NYSKQwfo79I3prg,OUzEUsNepC4,days before rodeo,travi$ scott,album,16,2015,3,0.1254911875,0.5959375,0.6109375,0.0014728781249999999,0.23515,-5.7738125,0.08316875,0.21678125,118.8066875,1
1132,5gg79cLcpB2vhjWr53Te2X,GMddfZCiiQ4,world peace is none of your business,morrissey,album,10,1992,5,0.052154530000000004,0.4325,0.7713,0.087753057,0.2352,-6.9592,0.0386,0.5414,140.7079,0
1133,5LlMvH379KZHgRIL5BrTOg,T_Xo9WU4vVM,tyranny,julian casablancas + the voidz,album,12,2014,7,0.13011583333333335,0.3248333333333333,0.8679166666666667,0.3964419,0.18716666666666668,-4.537,0.09048333333333333,0.30591666666666667,116.761,0.3333333333333333
1134,36LXzRarDP8TU8K0REGpt6,__MzJoGgYLk,lazaretto,jack white,album,11,2014,5,0.34662727272727273,0.4259090909090909,0.6238181818181818,0.0144982,0.1743909090909091,-9.101909090909091,0.058018181818181816,0.5079090909090909,138.67963636363635,0
1135,2UJwKSBUz6rtW4QLK74kQu,od6nfOOtyK4,self-titled,beyoncé,album,20,2014,6,0.1933535,0.5627,0.55355,0.005366992,0.26921,-8.52435,0.13863,0.374385,121.73675,0.4
1136,6cPoZUF1MLvQvXkfDGHwsf,kjSTPQQg194,never hungover again,joyce manor,album,10,2014,6,0.00221029,0.3661,0.9485,3.513e-5,0.2613,-1.537,0.09941,0.444,139.4059,0
1137,0CpvI4ZN49P8rEOCZAVzPJ,Fex6mMwSN3c,self-titled,sisyphus,album,11,2014,7,0.36544272727272725,0.6306363636363637,0.4660909090909091,0.2355419609090909,0.09759999999999999,-11.669727272727274,0.15952727272727274,0.4522181818181818,120.89645454545455,0
1138,0TCNncLeqqeEm8s6xN9SjB,QVtTjuLERT4,garbage,bones,mixtape,16,2014,6,0.2878531875,0.6803125,0.511125,0.15573211875,0.18939375,-11.921624999999999,0.062975,0.2748875,114.6114375,1
1139,021zMZKO2pUA3yoUQFW2uy,VRclyW74J_k,these days...,ab-soul,album,15,2014,5,0.20115333333333335,0.6126666666666667,0.5834666666666667,9.266666666666667e-7,0.36656,-9.812666666666667,0.26048666666666664,0.4234,121.21513333333333,1
1140,2qwN15acAl3sm3Idce5vK9,QIRlgm2zkec,sonic highways,foo fighters,album,8,2014,5,4.292625e-4,0.337625,0.7815,0.0604733625,0.1246625,-5.7151250000000005,0.0571875,0.35575,150.09475,0.25
1141,6T3bpnPxYxnaoRhGVhT7aL,4lsuigFrAjY,i am king,code orange,album,11,2014,6,6.926999999999999e-5,0.26654545454545453,0.832,0.5952181818181819,0.26745454545454544,-4.983818181818182,0.09214545454545454,0.2474090909090909,112.2159090909091,0
1142,7nox0SRTfTyUKyfbNusbbN,nzO5rysgAQs,angel guts: red classroom,xiu xiu,album,14,2014,7,0.18203330071428572,0.4377142857142857,0.60485,0.5844430642857142,0.15109285714285714,-9.336,0.05879285714285714,0.19549285714285713,118.15228571428571,0
1143,1NIzKm1DqvComMoEF1FZPQ,s6WkQrRC35c,no label ii,migos,mixtape,20,2014,5,0.137464,0.8027,0.64155,0,0.154555,-5.35055,0.203935,0.39879,130.29185,1
1144,5UJbUau9NfGZM7oLGgEJQK,ZxB8txjcYzM,nina,xiu xiu,album,11,2012,8,0.3795818181818182,0.3378181818181818,0.5165454545454545,0.21019285454545455,0.2101818181818182,-8.818818181818182,0.11205454545454545,0.26605454545454543,119.99227272727272,0
1145,51VxHZphGLsI7aUPqIkJaz,lQ3OTq63SDY,lost in the dream,the war on drugs,album,10,2014,7,0.356319,0.4546,0.6072,0.36955,0.182,-9.0642,0.03364,0.34569,127.12559999999999,0
1146,5TOfimDwyiJ71grEQMd9UH,oOhcHU0AoWs,full of hell & merzbow,full of hell,album,11,2014,8,0.06174055818181818,0.19417272727272727,0.8644545454545455,0.8543636363636363,0.41825454545454543,-5.4251818181818185,0.1293090909090909,0.050164545454545455,116.68027272727272,0
1147,0a4RySc0dCpbBhqDQpUFUE,I_UR-FF5h2I,fuck off get free we pour light on everything,silver mount zion,album,6,2014,8,0.18237383333333332,0.23466666666666666,0.5864333333333334,0.46448333333333336,0.22866666666666666,-9.089833333333333,0.0553,0.19753333333333334,117.93983333333333,0.16666666666666666
1148,6LCwRIRXxJYmC2KIagqYHf,scJ9fS5S7bo,p.t.s.d.,pharoahe monch,album,17,2014,7,0.32138410588235294,0.5733529411764706,0.7162941176470589,0.03893261470588235,0.23768823529411764,-7.864588235294118,0.3063294117647059,0.6191764705882353,112.85170588235295,0.6470588235294118
1149,1eFLCXEcuThN3QpMffhfvy,ieHgriwZvJ4,a better tomorow,wu-tang clan,album,15,2014,6,0.33685333333333334,0.6002666666666667,0.7682,6.847333333333333e-6,0.2942666666666667,-6.108666666666666,0.28946666666666665,0.49746666666666667,111.08793333333334,0.8
1150,29luvT98TnqHjVDYSRbbrj,vBHEEDUkme8,you're dead,flying lotus,album,19,2014,8,0.40442105263157896,0.3646315789473684,0.7026315789473684,0.5692070526315789,0.22044736842105264,-7.162473684210526,0.07496315789473684,0.29180526315789473,123.25836842105264,0
1151,0uOPPNiTA3k0HNvqKWcuSb,PhCE3XxgHSQ,more than any other day,ought,album,8,2014,7,0.140575,0.366625,0.754875,0.202725,0.10314999999999999,-6.19025,0.1096875,0.36645,131.571,0
1152,6EQWzHbd3EYO8J4EAIJst4,VFBMewMCCxQ,are we there,sharon van etten,album,11,2014,6,0.5047454545454545,0.4479090909090909,0.4310909090909091,0.16536267363636364,0.10725454545454545,-8.629363636363635,0.03039090909090909,0.25624545454545455,96.63254545454545,0
1153,2pIFOXH6DxLbWcUO19mbXa,aXou_Y-8fcQ,manipulator,ty segall,album,17,2014,6,0.009552397647058822,0.36676470588235294,0.7261176470588235,0.13538336470588236,0.17024117647058823,-8.407411764705882,0.048152941176470586,0.5069411764705882,123.55852941176471,0
